Number of elements
	8	16	32	64	128	256	512
1024	0.019498	0.016036	0.019644	0.012171	0.013127	0.025569	0.018949	
2048	0.046383	0.046770	0.027280	0.031985	0.040333	0.043167	0.042485	
4096	0.051977	0.082916	0.091779	0.087694	0.076991	0.078419	0.063673	
8192	0.144359	0.193482	0.176856	0.144916	0.162818	0.143278	0.163697	
16384	0.240976	0.306880	0.263878	0.385422	0.201251	0.266621	0.398392	
32768	0.628719	0.641887	0.680865	0.772807	0.722501	0.638949	0.518852	
65536	0.716105	0.858302	1.388601	1.230266	1.551818	1.153057	1.516437	
131072	0.364407	0.024475	0.594878	0.489890	0.537996	0.102005	0.493248	
262144	0.685071	1.089839	0.750476	0.786076	1.182221	0.072578	0.093852	
524288	0.379878	1.595392	0.154399	0.199103	1.709504	2.210924	2.116799	
1048576	1.729557	1.077309	2.909949	3.728318	3.079359	3.123526	2.856642	
2097152	0.436147	3.447631	4.656789	5.016195	4.239704	5.861162	4.608753	
4194304	2.396383	3.885120	3.432920	7.528459	7.963024	1.546925	5.625267	
8388608	1.207859	4.483299	7.311252	1.908330	2.706643	9.630587	10.735279	
